"","Date","columunG1","columunG1_low","columunG1_up","columunG2","columunG2_low","columunG2_up"
"1",0,252.311455149349,157.328361868952,438.123561856907,415.87877253612,238.144019471054,569.142409903606
"2",1,257.82845902119,144.148731105636,435.107995030884,386.506365389083,244.214907354491,594.950761669171
"3",2,267.459682994358,146.370425123752,410.08933682289,407.788038482158,244.183768112657,579.903789475901
"4",3,255.285024481001,159.719907015365,406.18218434469,418.268785936228,245.961384824907,595.223227592342
"5",4,272.958993020462,161.358466269572,426.504477328016,453.032552523654,242.883540250719,670.455176713969
"6",5,278.703542507589,161.358466269572,424.610197114428,458.018912231821,244.879242643243,598.267420004353
"7",6,280.524259890046,161.872010407702,500.599976846067,478.095410998967,234.516968110772,567.091428340486
"8",7,270.49722049548,177.431242405361,439.983009654272,466.386880669916,265.818875073765,637.709500744618
"9",8,267.890182714367,182.95769000007,472.526592883075,483.075832153422,270.564204894863,637.164200695611
"10",9,264.768537903737,182.95769000007,462.255503353316,514.583067562148,253.194050790292,620.706761473659
"11",10,265.237804605471,190.664324516932,515.522887800585,498.149458671395,265.59187099365,603.079305571616
"12",11,266.834237086775,195.097344857768,455.775852748974,488.952233235969,257.807864592841,640.829943832274
"13",12,266.155935692564,195.311267358342,474.950268195855,516.763422775069,343.681473457114,629.382295242787
"14",13,277.823643952347,196.487841392276,474.950268195855,485.495378308395,378.877527786326,634.191280726998
"15",14,312.693165323941,195.498449569743,474.950268195855,484.780393002795,325.087507563906,649.55628531069
"16",15,321.985661889517,195.017123990246,518.570914606421,485.503352614022,316.665123637458,644.828215013926
"17",16,333.525276865833,206.725372972808,516.742098617747,527.37397299528,368.670501677294,637.502665598416
"18",17,337.308111782235,206.725372972808,486.6682365358,529.709112277083,375.417835758466,644.388211203612
"19",18,328.727802717783,208.414021969202,563.884909295133,509.17330330741,378.402876546657,681.026661869206
"20",19,333.252471318878,219.885067848004,524.486626660468,512.637776772319,404.453793523749,686.200763296804
"21",20,337.930084620348,224.448380202404,528.972403913514,527.247592721743,404.453793523749,686.200763296804
"22",21,346.289728405235,235.386357700989,543.835456021447,575.297816797688,404.453793523749,681.451436876717
"23",22,378.105672466161,249.778734465623,582.015102331324,624.384056360924,421.643762366543,686.82278460252
"24",23,376.338625878901,269.682420957538,574.014728671288,656.014099350769,421.643762366543,845.976987988005
"25",24,360.809145608632,284.044668684084,690.199990479811,695.417958508539,421.643762366543,742.252229337419
"26",25,401.506124332009,319.308211417055,744.944262198122,688.608922633831,440.45981161999,879.611120715737
"27",26,427.057396179299,353.100723367795,841.589455457433,671.9032745277,449.315132085242,958.897059870206
"28",27,448.062739052307,346.596519457739,992.212228455323,675.265417374862,471.159542743893,1032.90185199391
"29",28,548.261832235875,361.093212800907,1054.61179162647,673.374211816483,524.934654900142,1024.21333403254
"30",29,590.577153263301,411.54659115223,1227.3483096352,761.262486509372,603.808309040337,1161.12139002886
"31",30,776.565514897084,441.410682085789,1435.22248848753,813.539925310201,670.690593499108,1256.6427535592
"32",31,849.893000611852,506.850569527187,1435.22248848753,893.7233935061,835.523137674545,1344.17960407528
"33",32,999.484822727679,554.578834482775,1556.48547719569,958.877963000042,779.298884699596,1451.72865233699
"34",33,1123.77177278481,670.574814388801,1798.71068023689,1085.92163877436,901.263839457363,1688.2831022427
"35",34,1233.80973719133,722.951086237182,1792.99630637913,1151.41863089889,910.934678885744,1688.2831022427
"36",35,1207.56663638461,789.310072515347,1946.68475977739,1204.19474326674,1032.93182088353,1688.2831022427
"37",36,1313.343648599,796.986542394868,1906.20333568964,1391.10889932322,1136.98333843552,1846.02352403769
"38",37,1502.27067796441,1031.69172464131,2281.60528192899,1539.0223034369,1222.06031425945,1925.98514339873
"39",38,1627.99044235705,1148.44903166086,2211.6897130549,1667.1931383754,1312.33368827672,1999.94580136512
"40",39,1914.23844131878,1291.11246546978,2353.22802274938,1784.72308749638,1354.07218294705,2145.58863192529
"41",40,2020.23198692519,1308.83911420278,2555.42687679584,1795.8898597343,1493.9397788137,2243.52133537457
"42",41,2080.03058691088,1403.18875791569,2564.66417250595,1969.52426673632,1627.95941924062,2314.67747946179
"43",42,2005.06206296188,1750.78667000725,2612.61575627439,2013.79239256487,1718.62225787407,2320.85188102233
"44",43,2017.08800506246,1664.66805446129,2606.4392680082,2113.23666895197,1764.22076645322,2301.60384980641
"45",44,2051.02341459986,1769.12298813404,2587.91021890146,2143.20009074637,1768.94074124816,2316.02326265933
"46",45,2117.38523616577,1771.19601259127,2576.27956609397,2124.18528077325,1787.28196013763,2355.02162552625
"47",46,2151.44878392648,1703.04666146439,2575.27784233011,2039.292321268,1650.8531617218,2420.7799012953
"48",47,2177.41538832003,1798.26149784967,2666.73442390866,2059.64106667485,1680.32671275392,2532.6769445493
"49",48,2191.62661302534,1802.61256652792,2783.30561474615,2022.02023375708,1673.76517659961,2515.88407212957
"50",49,2155.27017925287,1736.03229828751,2783.43588278394,1947.11261631759,1646.47446072051,2449.20798084504
"51",50,2181.35229012223,1707.88037719434,2662.92812522734,1953.48418868246,1688.27885164063,2297.4530229827
"52",51,2187.16572175462,1664.95523668432,2526.01900507886,1953.48418868246,1620.67732058872,2281.54576442889
"53",52,2092.2309515492,1347.55785932829,2443.571052902,1898.63428028279,1617.17782877312,2180.65733150655
"54",53,2228.77555733215,1553.42866311123,2499.53895149398,1971.08188234433,1562.10888784921,2269.46811098344
"55",54,2081.81361548145,1450.83989222915,2423.18772362148,1774.68981031341,1572.02484270832,2266.57166057409
"56",55,2023.11683137262,1253.21729886153,2390.37020512081,1711.22574479086,1547.79861107732,2214.6346479026
"57",56,2001.88444885276,1112.10518711414,2386.66591011548,1717.67144896023,1497.35692030939,2197.53483076809
"58",57,1860.71859941691,1060.76533986296,2282.81501519044,1683.41003941653,1314.19257175151,1906.08020305534
"59",58,1754.64727491865,1026.77800464966,2182.0095976079,1634.60419282327,1241.98728064722,1842.00775999477
"60",59,1661.90030629002,1059.79932429953,2044.11789778225,1542.23034140701,1237.0614627982,1770.33902592813
"61",60,1514.53051809475,875.630645298789,1943.99927545098,1478.42547752677,1126.81988070082,1688.20015359897
"62",61,1455.54817146021,730.36729683788,1814.48303613421,1396.68943420775,945.645065705404,1540.05100947002
"63",62,1469.47444983422,697.487224098432,1796.49730104143,1328.45785874994,959.404914900605,1540.41866167092
"64",63,1434.49125455288,600.630047820548,1639.52457270159,1151.00738494045,885.279700449683,1416.44085685137
"65",64,1355.72602799028,648.368121048126,1611.94993533771,1030.52248362254,781.980705034879,1242.11643948859
"66",65,1247.86923875471,498.197476177291,1611.08405303515,989.959036652859,688.799840641209,1204.61939295039
"67",66,1112.72472851531,450.700822502719,1495.56879186871,899.94854197732,677.643511000375,1184.99874033543
"68",67,937.146080840822,447.913966400197,1386.89598177811,835.336236050216,580.121194791039,1054.80547432798
"69",68,883.827436900433,406.625650730997,1281.73814659416,789.934346498836,527.740235216683,927.529619837993
"70",69,819.433082174837,396.122097132807,1144.56875585565,749.234533742262,487.586349959776,902.177924603101
"71",70,760.262081609963,412.804684319853,1132.6598486252,685.373587464846,434.329521513105,899.767662599317
"72",71,717.763661665617,399.908979204157,1036.13597953592,585.677736576666,376.864565208192,830.301548227829
"73",72,665.752222394337,358.973758167022,903.077002821608,545.502365204545,356.800451837675,785.20538664891
"74",73,606.686977246873,357.652439183461,828.655246135171,494.321721776967,352.758038460872,775.017614480092
"75",74,574.323109136797,300.938568875064,757.933144431369,452.642939326938,317.40763036303,749.769362421511
"76",75,528.335162103539,325.903365703567,723.91499025569,421.401335949895,266.271379969458,732.672885370996
"77",76,475.698380901676,287.443735177523,683.069895111501,399.327033252762,259.935656389045,578.421200000997
"78",77,413.009753402793,284.239048925381,619.578807367302,360.798492838571,249.934358596455,670.404872634392
"79",78,388.675413554802,255.248793356811,566.756375317831,336.085375084967,228.30510100471,600.322833702368
"80",79,376.931492995267,256.739159421321,571.600801441823,311.842852244006,196.345941311511,548.732308963348
"81",80,329.146548509768,230.720692408766,538.737551497721,291.261381470022,188.957464019206,519.975428126772
"82",81,291.599043374263,219.552946152026,509.775183003085,263.679268985626,181.48635968928,395.826168757118
"83",82,288.170461296356,209.959709766759,455.410311911059,249.496783966861,167.890799158419,380.225885322739
"84",83,272.514805529902,204.828678054335,418.593397115572,247.869088733525,141.538866418521,368.352624075219
"85",84,254.489041619685,182.326009358622,374.99211489591,219.708377204808,141.465354668406,284.990545314739
"86",85,230.568538252726,174.340783932937,355.264007304991,204.783764866618,133.841311483927,292.626657559721
"87",86,211.309518652032,171.009219645574,358.202851801116,189.104052002908,150.058561420703,274.364880582119
"88",87,201.445993571618,144.022972046433,322.913188571709,178.295681221614,146.728476726794,251.214553216289
"89",88,189.890966687623,145.875717756474,306.289788069558,173.109966950814,128.973627762956,279.612399579742
"90",89,178.670650902835,129.491373340275,276.011071443854,167.735687612026,127.252569778621,247.694465373493
"91",90,173.743248128893,120.784376579114,244.544379176053,148.006119742624,124.871327868824,243.412308321676
"92",91,164.919827438366,114.048715547962,235.372504567072,144.424343554077,112.584151133977,235.795170864272
"93",92,154.364408549802,98.3618051435602,207.047051237443,140.488895740689,107.725730584721,197.665208335622
"94",93,143.780519724623,88.8816334192997,201.992975730646,132.259899271418,90.7836490362698,179.79311264308
"95",94,147.241220126849,76.2124493705111,199.624948922338,132.259899271418,90.7170649759366,160.566652918866
"96",95,127.026990421452,88.4199146403331,188.048557752602,117.263488406818,92.5884796861361,138.810144330956
"97",96,116.629743371445,75.9061809509403,173.059254956395,111.925624270334,88.2729212350177,153.796041855738
"98",97,116.936082528907,75.6311908108046,175.364518382997,112.511013173107,88.0848063491039,152.059277068207
"99",98,108.697774828885,73.4430195596849,165.382115787066,106.947833549747,89.5897256174743,135.325352213499
"100",99,104.992126580597,72.5569692136395,163.207837709551,99.420424830279,82.6309705049357,145.915104932619
"101",100,103.197903997182,73.2625734531425,146.311532539668,92.9596597825696,78.7967370178776,143.927735014898
